Feature Id	Gene Symbol	Uni Gene Id	Gene Id	Accession Id	Ref Seq Protein Id	Ref Seq Transcript Id
244746_at	SEMA6D					
244745_at	RERG					
244744_at	LOC100130502					
244743_x_at	ZNF138					
244741_s_at	ZNF667-AS1					
244739_at	RDX					
244738_at	BRWD3					
244735_at	CCDC54					
244734_at	MTHFSD					
244730_x_at	ZSCAN16-AS1					
244728_at	LOC101929715					
244727_at	KCNQ1OT1					
244725_at	DMRTA1					
244723_at	ACSM2A					
244721_at	TP53INP1					
244718_at	MTMR9LP					
244717_x_at	SV2B					
244716_x_at	TMIGD2					
244712_at	MEX3D					
244710_at	LRGUK					
244709_at	AMER3					
244708_at	SCN8A					
244706_at	PCMTD1					
244704_at	NFYB					
244703_x_at	IPO9					
244700_at	SEC61B					
244699_at	AHI1					
244694_at	IGLON5					
244692_at	CYP4F22					
244691_at	SETD5					
244689_at	PPARA					
244687_at	DBT					
244686_at	TCOF1					
244685_at	ANGEL1					
244682_at	CAMSAP1					
244681_at	NUP210P1					
244680_at	GLRB					
244676_s_at	MTUS2					
244675_at	RGS8					
244673_at	KIAA1841					
244670_at	ATP5S					
244667_at	PRCAT47					
244663_at	ZNF431					
244662_at	MBD5					
244661_at	SOAT1					
244660_at	ELAVL1					
244659_at	TRIP12					
244656_at	RASL10B					
244655_at	LOC100507311					
244654_at	MYO1G					
244653_at	SETD7					
244652_at	CD101					
244650_at	FAM105A					
244649_at	LOC646484					
244647_at	WBP11					
244644_at	FAM9C					
244641_at	MALSU1					
244640_at	ZNF850					
244638_at	SUCLG1					
244635_s_at	SH3BGRL2					
244632_at	CNTN5					
244631_at	LOC389834					
243779_at	GALNT13					
243777_at	RAB29					
243774_at	MUC20					
243773_at	PDCD2					
243772_at	SDCCAG8					
243770_at	ZNF483					
243766_s_at	TEAD2					
243764_at	VSIG1					
243762_at	LINC01297					
243760_at	MIPEPP3					
243759_at	SCAF4					
243758_at	CFAP100					
243755_at	PRLR					
243753_at	ERICH3					
243752_s_at	CYTH3					
243751_at	CHD2					
243750_x_at	FAM207A					
243749_s_at	MINCR					
243747_at	ZNF599					
243746_at	IGHMBP2					
243744_at	FTCDNL1					
243742_at	LOC100505797					
243738_at	NMNAT3					
243737_at	ATP1B4					
243735_at	ELP2					
243734_x_at	VWC2					
243728_at	LOC101929109					
243727_at	CPNE8					
243724_at	SLC33A1					
243722_at	PYDC1					
243721_at	C18orf61					
243719_at	STK19					
243717_at	EPHA10					
243712_at	XIST					
243711_at	DDAH1					
243710_at	LOC100506175					
243709_at	SLC38A9					
243708_at	TMEM132E					
243706_at	CDO1					
243705_at	DDHD1					
243704_at	GPATCH2					
243703_x_at	LIPE-AS1					
243700_x_at	FAM47A					
243699_at	LOC100507006					
243697_at	MOXD1					
243696_at	CEP104					
243692_at	GATA4					
243690_at	TRIOBP					
243689_s_at	FRG1BP					
243688_at	LOC90768					
243687_at	LINC00881					
243683_at	MORF4L2					
243681_at	SHANK2					
243680_at	LOC100506476					
243679_at	JPH3					
243677_at	GORASP1					
243672_at	SALL3					
243669_s_at	PRAP1					
243668_at	MED28					
243666_at	CELF4					
243665_s_at	CELF4					
243664_at	TXNL1					
243662_at	ZC3H10					
243656_at	LOC642852					
243653_at	SHROOM3					
243651_at	CPEB3					
243650_at	PLEKHH2					
243649_at	FBXO7					
243648_at	ZBED6					
243645_at	NFASC					
243643_x_at	SLC30A6					
243635_at	DNAJC10					
243634_at	SMIM14					
243630_at	NDUFB1					
